Syllable,Pronunciation,Word,Frequency
A,AH,ADOPTION,17860735
A,AH,ADOPTIVE,1222288
A,AH,ADORA,187999
A,AH,ADORABLE,5185710
A,AH,ADORE,1176240
A,AH,ADORED,529243
A,AH,ADORING,215653
A,AH,ADORN,464591
A,AH,ADORNMENT,185836
A,AH,ADRENAL,1309847
A,AH,ADRENALIN,460317
A,AH,ADRENALINE,1708838
A,AH,ADRENERGIC,719163
A,AH,ADRIFT,418628
A,AH,ADROIT,182395
A,AH,ADROITLY,50863
A,AH,ADSORPTION,928955
A,AH,ADULT,97583096
A,AH,ADULTERATE,21055
A,AH,ADULTERATED,155265
A,AH,ADULTERATION,110487
A,AH,ADULTERER,51238
A,AH,ADULTEROUS,103514
A,AH,ADULTERY,976493
A,AH,ADULTHOOD,1187666
A,AH,ADVANCE,44738913
A,AH,ADVANCED,173422161
A,AH,ADVANCEMENT,5205341
A,AH,ADVANCER,18477
A,AH,ADVANCES,9067771
A,AH,ADVANCING,2978593
A,AH,ADVISABLE,1440101
A,AH,ADVISEMENT,457777
A,AH,AFAR,766928
A,AH,AFFAIR,5545856
A,AH,AFFAIRS,36831853
A,AH,AFFECT,24406141
A,AH,AFFECTED,24301370
A,AH,AFFECTING,8458005
A,AH,AFFECTION,2332707
A,AH,AFFECTIONATE,713693
A,AH,AFFECTIONATELY,370906
A,AH,AFFECTIVE,1275468
A,AH,AFFILIATE,37877419
A,AH,AFFILIATED,10583504
A,AH,AFFILIATING,38271
A,AH,AFFILIATION,6800211
A,AH,AFFINE,569258
A,AH,AFFINITY,3253001
A,AH,AFFIRM,1680655
A,AH,AFFIRMATIVE,4003502
A,AH,AFFIRMATIVELY,248045
A,AH,AFFLICT,170683
A,AH,AFFLICTION,546664
A,AH,AFFORD,10348210
A,AH,AFFORDABLE,21650006
A,AH,AFICIONADO,326331
A,AH,AFIELD,426227
A,AH,AFIRE,113772
A,AH,AFLAME,116044
A,AH,AFLOAT,650052
A,AH,AFLUTTER,15146
A,AH,AFOOT,364417
A,AH,AFOREMENTIONED,1673653
A,AH,AFORESAID,897511
A,AH,AFORETHOUGHT,49524
A,AH,AFOUL,159727
A,AH,AFRAID,10858793
A,AH,AFRESH,214382
A,AH,AGAIN,150781416
A,AH,AGAINST,147259825
A,AH,AGANA,143038
A,AH,AGASSIZ,208935
A,AH,AGENDA,24005891
A,AH,AGERATUM,50692
A,AH,AGGLOMERATE,34065
A,AH,AGGLOMERATION,244759
A,AH,AGGRANDIZE,16619
A,AH,AGGRESSION,2539892
A,AH,AGGRESSIVE,7345918
A,AH,AGGRESSIVELY,1549351
A,AH,AGGRESSIVENESS,272036
A,AH,AGGRESSOR,324310
A,AH,AGGRIEVED,529207
A,AH,AGHAST,181144
A,AH,AGILITY,1810572
A,AH,AGLOW,110328
A,AH,AGO,98839705
A,AH,AGOG,59623
A,AH,AGORA,797585
A,AH,AGORAPHOBIA,479592
A,AH,AGRARIAN,611488
A,AH,AGREE,47500911
A,AH,AGREEABLE,1649066
A,AH,AGREED,28717540
A,AH,AGREEING,2867051
A,AH,AGREEMENT,111356320
A,AH,AGRICULTURALLY,68469
A,AH,AGRIPPA,241925
A,AH,AGRONOMIST,107004
A,AH,AGRONOMY,526000
A,AH,AGROUND,163017
A,AH,AHASUERUS,43824
A,AH,AHEAD,28375319
A,AH,AHOLD,295977
A,AH,AHOSKIE,51666
A,AH,AHOY,448637
A,AH,AJAR,136808
A,AH,AKIBA,81604
A,AH,AKIMBO,106794
A,AH,AKIN,1712538
A,AH,AKINS,186700
A,AH,AKITA,440387
A,AH,AKKADIAN,87689
A,AH,ALACRITY,133357
A,AH,ALAI,154446
A,AH,ALAIN,1888792
A,AH,ALARM,17059844
A,AH,ALARMINGLY,174526
A,AH,ALARMIST,120909
A,AH,ALAS,2321771
A,AH,ALASKA,31388580
A,AH,ALASKAN,2083811
A,AH,ALAYNE,19791
A,AH,ALBANIA,6491835
A,AH,ALCOA,671251
A,AH,ALEATORY,14355
A,AH,ALEDO,129381
A,AH,ALEICHEM,35486
A,AH,ALENE,720301
A,AH,ALERT,32472727
A,AH,ALERTLY,20453
A,AH,ALERTNESS,363768
A,AH,ALETHEA,41523
A,AH,ALEUTIAN,317217
A,AH,ALEUTIANS,136363
A,AH,ALEXA,3144869
A,AH,ALEXANDRIA,5616299
A,AH,ALEXIA,760360
A,AH,ALEXIS,2497825
A,AH,ALGERIA,6407167
A,AH,ALIASES,2270764
A,AH,ALICIA,4957344
A,AH,ALIGHT,261720
A,AH,ALIGN,5478643
A,AH,ALIGNMENT,7454436
A,AH,ALIKE,6220739
A,AH,ALINE,267309
A,AH,ALISA,432582
A,AH,ALISSA,260442
A,AH,ALIVE,16064787
A,AH,ALIYAH,189298
A,AH,ALLAHABAD,479350
A,AH,ALLAY,203474
A,AH,ALLAYED,56689
A,AH,ALLAYING,23983
A,AH,ALLEGE,633028
A,AH,ALLEGED,8495916
A,AH,ALLEGEDLY,3215144
A,AH,ALLEGIANCE,1845566
A,AH,ALLEGING,1139024
A,AH,ALLEGRO,2001576
A,AH,ALLELIC,279622
A,AH,ALLERGIC,2913453
A,AH,ALLEVIATE,1640342
A,AH,ALLEVIATED,241301
A,AH,ALLEVIATING,362681
A,AH,ALLEVIATION,598330
A,AH,ALLIANCE,22666723
A,AH,ALLIED,7508812
A,AH,ALLITERATION,121782
A,AH,ALLITERATIVE,84468
A,AH,ALLOT,396325
A,AH,ALLOTMENT,1190325
A,AH,ALLOTTED,1217411
A,AH,ALLOTTING,40610
A,AH,ALLOW,67052567
A,AH,ALLOWABLE,5448654
A,AH,ALLOWANCE,6163760
A,AH,ALLOWED,44526131
A,AH,ALLUDE,161242
A,AH,ALLUDED,456532
A,AH,ALLUDING,176314
A,AH,ALLURE,1292131
A,AH,ALLURED,55962
A,AH,ALLURING,487763
A,AH,ALLUSION,336152
A,AH,ALLUSIVE,31149
A,AH,ALMERIA,839372
A,AH,ALMIRA,121008
A,AH,ALOFT,497342
A,AH,ALOHA,2099181
A,AH,ALONE,39326417
A,AH,ALONG,83444756
A,AH,ALONGSIDE,4743589
A,AH,ALONSO,884090
A,AH,ALONZO,524504
A,AH,ALOOF,294291
A,AH,ALOOFNESS,42280
A,AH,ALOUD,3743858
A,AH,ALTAMIRA,112152
A,AH,ALTHEA,206081
A,AH,ALUMINA,829273
A,AH,ALUMINIZED,87142
A,AH,ALUMINOSILICATE,21899
A,AH,ALUMINUM,14077377
A,AH,ALUMNA,238563
A,AH,ALUMNUS,732688
A,AH,AMALGAM,506720
A,AH,AMALGAMATE,83155
A,AH,AMALGAMATED,387524
A,AH,AMALGAMATING,57208
A,AH,AMALGAMATION,513407
A,AH,AMALIA,201279
A,AH,AMANDA,7541237
A,AH,AMARA,385614
A,AH,AMASS,181774
A,AH,AMATI,84276
A,AH,AMAZE,791672
A,AH,AMAZED,3077159
A,AH,AMAZEMENT,635889
A,AH,AMAZING,26630190
A,AH,AMAZINGLY,1814293
A,AH,AMELIA,2042715
A,AH,AMELIORATE,242201
A,AH,AMELIORATION,133585
A,AH,AMENABLE,525863
A,AH,AMEND,7806844
A,AH,AMENDABLE,23076
A,AH,AMENDMENT,28151500
A,AH,AMENDS,1456157
A,AH,AMENITY,1196507
A,AH,AMERICA,136214727
A,AH,AMERICAN,227534978
A,AH,AMERICANA,3229614
A,AH,AMERICANIZATION,86244
A,AH,AMERICANIZE,14757
A,AH,AMERICANIZED,89481
A,AH,AMERICANO,213072
A,AH,AMERICIUM,70990
A,AH,AMIABILITY,22999
A,AH,AMIABLE,343390
A,AH,AMIABLY,43322
A,AH,AMID,2994953
A,AH,AMIDSHIPS,38772
A,AH,AMIDST,1442041
A,AH,AMIGA,2201683
A,AH,AMIGO,1094662
A,AH,AMINO,8273641
A,AH,AMIR,1010408
A,AH,AMISS,271389
A,AH,AMITABHA,64888
A,AH,AMMONIUM,1334961
A,AH,AMOEBA,284346
A,AH,AMOEBIC,43166
A,AH,AMOK,463652
A,AH,AMONG,83431590
A,AH,AMONGST,7657732
A,AH,AMORPHOUS,803676
A,AH,AMOUNT,92039679
A,AH,AMPHORA,112445
A,AH,AMUCK,70822
A,AH,AMUSE,554922
A,AH,AMUSED,1244733
A,AH,AMUSEMENT,3661819
A,AH,AMUSING,2419640
A,AH,AMUSINGLY,99590
A,AH,ANACHRONISTIC,148730
A,AH,ANACOSTIA,140793
A,AH,ANAESTHESIA,757394
A,AH,ANAESTHETIST,87734
A,AH,ANALOGOUS,1812873
A,AH,ANALOGY,2263449
A,AH,ANAPHORA,183898
A,AH,ANATHEMA,349846
A,AH,ANATOLIA,315173
A,AH,ANATOMIST,61671
A,AH,ANATOMY,7210406
A,AH,ANDORRA,5629631
A,AH,ANDREA,7068627
A,AH,ANEMIA,3721646
A,AH,ANEMIC,229485
A,AH,ANESTHESIA,2237242
A,AH,ANESTHETIST,125193
A,AH,ANEW,884664
A,AH,ANGLIA,1478289
A,AH,ANGORA,358752
A,AH,ANITA,3972924
A,AH,ANKARA,1335650
A,AH,ANNAPOLIS,2890978
A,AH,ANNETTE,1965739
A,AH,ANNIHILATE,205665
A,AH,ANNIHILATED,182850
A,AH,ANNIHILATING,61477
A,AH,ANNIHILATION,756291
A,AH,ANNOUNCE,11583296
A,AH,ANNOUNCED,28744210
A,AH,ANNOUNCEMENT,13951272
A,AH,ANNOUNCER,980698
A,AH,ANNOUNCING,2771344
A,AH,ANNOY,1497815
A,AH,ANNOYANCE,894491
A,AH,ANNOYING,5548132
A,AH,ANNUALLY,9528962
A,AH,ANNUITY,2864316
A,AH,ANOINT,125193
A,AH,ANOMALOUS,933401
A,AH,ANOMALY,1693007
A,AH,ANONYMOUS,32563033
A,AH,ANONYMOUSLY,1313723
A,AH,ANOREXIA,1151696
A,AH,ANOTHER,192535750
A,AH,ANSONIA,200014
A,AH,ANSWERABLE,203618
A,AH,ANTHEA,124226
A,AH,ANTONIA,741916
A,AH,ANUBIS,363691
A,AH,APACE,154873
A,AH,APACHE,16553370
A,AH,APACHES,105039
A,AH,APART,16507181
A,AH,APARTHEID,1300164
A,AH,APARTMENT,30771172
A,AH,APIECE,488388
A,AH,APLENTY,163607
A,AH,APLOMB,122772
A,AH,APNEA,950562
A,AH,APOCALYPSE,2198730
A,AH,APOCALYPTIC,638084
A,AH,APOCRYPHAL,152976
A,AH,APOLLO,5286526
A,AH,APOLOGETIC,265684
A,AH,APOLOGISE,753572
A,AH,APOLOGISED,165570
A,AH,APOLOGISING,55459
A,AH,APOLOGIST,205637
A,AH,APOLOGIZE,2591938
A,AH,APOLOGIZED,559056
A,AH,APOLOGIZING,234293
A,AH,APOLOGY,2041402
A,AH,APOSTATE,178663
A,AH,APOSTLE,1790768
A,AH,APOSTROPHE,329645
A,AH,APOTHECARY,375839
A,AH,APOTHEOSIS,102324
A,AH,APPALACHIA,393221
A,AH,APPALL,16124
A,AH,APPALLED,546911
A,AH,APPALLING,801647
A,AH,APPALLINGLY,65107
A,AH,APPAREL,40498015
A,AH,APPARENT,9650402
A,AH,APPARENTLY,15815805
A,AH,APPEAL,27829479
A,AH,APPEALABLE,149215
A,AH,APPEALING,3480503
A,AH,APPEALINGLY,36510
A,AH,APPEAR,42801104
A,AH,APPEARANCE,16574606
A,AH,APPEASE,401600
A,AH,APPEASED,134229
A,AH,APPEASEMENT,224656
A,AH,APPEASING,95475
A,AH,APPELLANT,4776547
A,AH,APPELLATE,2711762
A,AH,APPEND,2136979
A,AH,APPENDAGE,194843
A,AH,APPENDICES,2058615
A,AH,APPENDICITIS,292240
A,AH,APPENDIX,23395734
A,AH,APPENDIXES,322496
A,AH,APPLAUD,912162
A,AH,APPLAUSE,1705835
A,AH,APPLIANCE,9005645
A,AH,APPLIED,44960208
A,AH,APPLY,76341478
A,AH,APPLYING,14440499
A,AH,APPOINT,3696615
A,AH,APPOINTED,17314729
A,AH,APPOINTEE,448425
A,AH,APPOINTIVE,43335
A,AH,APPOINTMENT,16761764
A,AH,APPORTION,149703
A,AH,APPORTIONMENT,747683
A,AH,APPRAISAL,7113257
A,AH,APPRAISE,383774
A,AH,APPRAISED,996617
A,AH,APPRAISER,1957049
A,AH,APPRAISING,266187
A,AH,APPRECIATE,13938792
A,AH,APPRECIATED,7831655
A,AH,APPRECIATING,486016
A,AH,APPRECIATION,7290884
A,AH,APPRECIATIVE,659787
A,AH,APPRENTICE,3177886
A,AH,APPRENTICED,108267
A,AH,APPRENTICESHIP,1840066
A,AH,APPRISE,88027
A,AH,APPRISED,217995
A,AH,APPROACH,64158347
A,AH,APPROACHABLE,338519
A,AH,APPROPRIATE,69671201
A,AH,APPROPRIATED,2330545
A,AH,APPROPRIATELY,4679967
A,AH,APPROPRIATENESS,1270661
A,AH,APPROPRIATING,264999
A,AH,APPROPRIATION,3844753
A,AH,APPROVABLE,70150
A,AH,APPROVAL,35046541
A,AH,APPROVE,9410993
A,AH,APPROVED,52215969
A,AH,APPROVING,2142483
A,AH,APPROVINGLY,89692
A,AH,APPROXIMATE,6952889
A,AH,APPROXIMATED,609299
A,AH,APPROXIMATELY,35797333
A,AH,APPROXIMATING,371461
A,AH,APPROXIMATION,3798341
A,AH,AQABA,180598
A,AH,AQUARIST,107567
A,AH,AQUARIUM,5327865
A,AH,AQUARIUMS,983409
A,AH,AQUARIUS,1573734
A,AH,AQUATIC,6056753
A,AH,AQUINAS,736797
A,AH,ARA,1337611
A,AH,ARABIA,10980809
A,AH,ARABIC,9954108
A,AH,ARABLE,686899
A,AH,ARABY,67455
A,AH,ARAFAT,2013098
A,AH,ARAGON,616836
A,AH,ARCADIA,2151851
A,AH,ARCHITECTURALLY,234640
A,AH,AREA,259871557
A,AH,ARGUABLE,202934
A,AH,ARIA,2047712
A,AH,ARMENIA,7014638
A,AH,ARRHYTHMIA,496374
A,AH,ASCEND,799236
A,AH,ASCENDANCE,43265
A,AH,ASCENDANCY,225007
A,AH,ASCENDANT,838163
A,AH,ASCENDENCY,32116
A,AH,ASCENDING,4958122
A,AH,ASCENSION,1825408
A,AH,ASCENT,1509864
A,AH,ASCETIC,208813
A,AH,ASHAMED,1932143
A,AH,ASHORE,876754
A,AH,ASIDE,11768649
A,AH,ASLEEP,3967813
A,AH,ASMARA,120536
A,AH,ASPARAGUS,1237837
A,AH,ASSAD,476375
A,AH,ASSAIL,140077
A,AH,ASSAILANT,247362
A,AH,ASSASSIN,1449166
A,AH,ASSASSINATE,308774
A,AH,ASSASSINATED,554713
A,AH,ASSASSINATING,62687
A,AH,ASSASSINATION,2116496
A,AH,ASSAULT,10011305
